问题,答案
你们咖啡店的营业时间是什么？,我们咖啡店的营业时间为每天上午8:00至晚上22:00，节假日照常营业。
店铺地址在哪里？,我们的地址是：南山区科技园路18号创新大厦1楼。最近的地铁站是"科技园站"D出口，步行约5分钟。
如何下单购买咖啡？,您可以通过以下方式下单：1. 直接到店点单；2. 通过我们的微信小程序"XX咖啡"在线点单（支持到店自提和外送配送）；3. 在美团、饿了么等外卖平台搜索"XX咖啡"下单。
你们有哪些咖啡种类推荐？,我们主打意式咖啡和手冲咖啡。热销款包括：经典美式、拿铁、卡布奇诺、焦糖玛奇朵。手冲咖啡每天会提供2-3款不同的单一产地咖啡豆，具体可以咨询店员。
是否提供无咖啡因或低因咖啡？,是的，我们提供低因咖啡选项，您可以在点单时要求将浓缩咖啡换成低因浓缩。此外，我们也供应不含咖啡因的饮品，如热巧克力、抹茶拿铁和花草茶。
有素食或植物奶的选项吗？,我们提供燕麦奶、杏仁奶和豆奶作为植物奶替代品，升级植物奶需额外加3元。部分甜品也有纯素食选项，具体请查看菜单标注或咨询店员。
你们店里有无线上网？密码是多少？,我们提供免费Wi-Fi，网络名称是"XXCoffee_Free"，连接后会自动弹出认证页面，输入手机号获取验证码即可登录，无需密码。如果没有弹出，请尝试在浏览器中打开任意网页。
我点了外卖但少送了一杯饮料，怎么办？,非常抱歉给您带来不便！请您通过外卖平台上的订单页面点击"申请售后"或直接联系我们的客服电话400-882-8899（工作时间8:00-22:00），提供订单号及缺失商品的照片，我们会尽快为您处理退款或补送。
如何查询积分或参与会员活动？,您可以通过"XX咖啡"微信小程序登录会员中心，在"我的积分"页面查看当前积分和兑换规则。积分可用于兑换免费饮品、优惠券等。每月8号为会员日，消费可享双倍积分。
如果我点的饮品不满意，可以重做吗？,当然可以！如果您对饮品的甜度、温度或口味不满意，请在现场告知我们的咖啡师，我们会免费为您重新制作一杯。如果是外卖订单，请通过客服渠道联系我们处理。
制作一杯美式咖啡需要多长时间？,制作一杯经典美式咖啡大约需要1-2分钟。包括研磨咖啡豆、萃取浓缩咖啡（约25-30秒）和加入热水的过程。
拿铁的制作时间大概多久？,制作一杯拿铁大约需要2-3分钟。主要步骤包括：萃取浓缩咖啡（约25-30秒）、蒸汽打奶泡（约30-45秒）和拉花（约30秒）。
卡布奇诺的制作时间是多久？,卡布奇诺的制作时间约2-3分钟。与拿铁类似，但奶泡需要打发得更绵密，打奶时间稍长一些。
焦糖玛奇朵制作需要多长时间？,焦糖玛奇朵制作大约需要3分钟。除了萃取浓缩咖啡和打发奶泡外，还需要额外的时间淋上焦糖酱和进行装饰。
手冲咖啡的制作时间是多久？,手冲咖啡制作时间约3-5分钟，具体取决于咖啡豆的研磨度和注水手法。包括：磨豆（约30秒）、闷蒸（30秒）、分段注水（约2-3分钟）。
冰咖啡的制作时间需要多久？,冰咖啡制作约2-3分钟。需要注意的是，如果您希望咖啡快速冷却，我们可以提供"冰镇"方式；如果是"冷萃"冰咖啡，则需要提前12小时预约制作，因为冷萃需要长时间慢速萃取。
浓缩咖啡的制作时间是多长？,单份浓缩咖啡制作时间仅需约30-45秒，这是所有咖啡品种中最快的一款。主要就是研磨、压粉和萃取过程。
摩卡咖啡的制作时间大概多久？,摩卡咖啡制作约3分钟。除了萃取浓缩咖啡和打奶泡外，还需要融化巧克力酱并与咖啡混合，最后加上奶油装饰。
如果点了多杯咖啡，制作时间会增加吗？,如果一次性点3杯以内的咖啡，我们通常可以并列制作（同时使用多个冲煮头），等待时间约5-8分钟。如果超过3杯，等待时间会相应增加，高峰期建议提前在小程序下单以减少等待。
高峰期制作咖啡需要更长时间吗？,是的，在高峰期（工作日上午8:30-9:30和下午2:00-3:00）订单较多时，制作时间可能会比平时延长5-10分钟。建议您通过小程序提前下单，到店直接领取。
