问题,答案
你们公司是干什么的,星链全球物流（StarLink Global Logistics）是一家跨境智能物流公司，主营业务包括国际空运、国际海运（整箱和拼箱）、跨境电商FBA头程运输、海外仓一件代发以及报关清关与贸易合规服务。我们为外贸企业和跨境电商卖家提供从中国到全球主要市场的一站式物流解决方案。
星链全球物流是做什么的,星链全球物流（StarLink Global Logistics）是一家跨境智能物流公司，主营业务包括国际空运、国际海运（整箱和拼箱）、跨境电商FBA头程运输、海外仓一件代发以及报关清关与贸易合规服务。我们为外贸企业和跨境电商卖家提供从中国到全球主要市场的一站式物流解决方案。
介绍一下你们公司,星链全球物流（StarLink Global Logistics）是一家跨境智能物流公司，总部位于上海，在宁波、深圳、洛杉矶、汉堡、新加坡设有分公司。主营业务涵盖国际空运、国际海运、FBA头程、海外仓一件代发和报关合规服务，致力于为客户提供全球门到门物流服务。
你们公司主营业务是什么,星链全球物流的主营业务包括：国际空运、国际海运（整箱FCL和拼箱LCL）、跨境电商FBA头程运输、海外仓一件代发，以及报关清关、贸易合规咨询等配套服务。
你们公司主要做哪些物流业务？,星链全球物流主营国际空运、海运整箱/拼箱、跨境电商FBA头程、海外仓一件代发以及报关合规服务，覆盖全球主要贸易航线。
FBA头程 shipping到美国要多久？,美国西岸热门仓库（如LAX9）空运约5-7个工作日，海运快船约12-15天，普船约18-22天。具体以实际开船和清关时间为准。
你们能派送到亚马逊哪个仓库？,我们支持派送到美国、欧洲、日本、加拿大等主流亚马逊运营中心，包括热门仓和偏远仓，部分冷门仓需加收附加费。
FBA头程贴标有什么要求？,每件商品需贴亚马逊FNSKU标签，外箱需贴Made in China标签和运输标，标签要清晰可扫描，建议使用碳带打印，避免热敏纸褪色。
你们海外仓支持一件代发吗？,支持。我们在洛杉矶、纽约、汉堡、东京设有自营或合作海外仓，可对接Shopify、Amazon、eBay等平台，实现订单自动同步和48小时内出库。
海运整箱从上海到洛杉矶要多少钱？,运价受船司、航次、箱型及燃油附加费影响浮动较大。请提供具体品名、货重、体积和预计出货时间，我们为您实时报价。
你们有客服电话吗？,我们的官方客服热线是 400-888-6688（工作日 9:00-21:00），也可通过官网在线客服或您的专属销售经理联系。
我的货被海关查验了怎么办？,我们会配合海关提供所需单证，并第一时间通知您。查验一般耗时2-5个工作日，若涉及商检或归类问题，可能需要补充资料，请保持沟通畅通。
